               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065131,            0.014723,            0.036607,             0.13731,            0.084775,            0.016708,           0.0034238,             0.10466,             0.11018,             0.04092,           0.0032959,           0.0032959,            0.070337
                   1,            0.040934,           0.0078586,            0.035169,             0.13743,               0.274,            0.051559,            0.011381,            0.089687,            0.089114,            0.037307,           0.0066073,           0.0066073,            0.040315
                   2,            0.037086,           0.0069178,             0.03489,           0.0098865,             0.24242,           0.0027652,          0.00030495,             0.11021,             0.49002,            0.052314,           0.0098967,           0.0098967,            0.010271
                   3,            0.034404,           0.0067157,            0.034721,             0.37607,             0.48232,              0.4189,             0.20023,             0.05433,            0.096111,             0.03635,           0.0099008,           0.0099008,           0.0099008
                   4,            0.032263,           0.0062542,             0.03491,             0.35885,             0.92306,             0.53126,             0.34736,            0.031758,            0.012276,            0.034531,           0.0099008,           0.0099008,           0.0099008
                   5,             0.02968,           0.0059649,            0.034746,             0.35119,             0.91316,             0.56092,              0.3094,             0.03872,            0.015947,            0.034159,           0.0098677,           0.0098677,           0.0098677
                   6,            0.030201,           0.0060647,              0.0344,             0.45991,             0.13754,            0.098824,            0.032196,            0.096809,            0.093542,            0.040931,           0.0098347,           0.0098347,           0.0098347
                   7,            0.029453,           0.0058806,            0.034049,             0.36096,             0.92677,             0.62172,              0.3887,            0.026597,             0.01159,            0.032859,           0.0098016,           0.0098016,           0.0098016
                   8,            0.029315,           0.0059812,            0.032581,             0.43455,             0.78724,             0.61509,             0.38257,            0.028987,            0.012205,            0.031116,           0.0097685,           0.0097685,           0.0097685
                   9,            0.028933,           0.0059446,            0.031599,               0.387,             0.84765,             0.54348,             0.30998,            0.034602,            0.015832,            0.039507,           0.0097355,           0.0097355,           0.0097355
                  10,            0.030044,           0.0060074,            0.028825,             0.42147,             0.71575,             0.58455,             0.34227,            0.040795,            0.016176,             0.05818,           0.0097024,           0.0097024,           0.0097024
                  11,            0.030246,           0.0061917,            0.028255,             0.45379,             0.80499,              0.6506,             0.39926,            0.032233,            0.012719,            0.035597,           0.0096693,           0.0096693,           0.0096693
                  12,            0.030202,           0.0060383,             0.02691,             0.54767,              0.7492,             0.69372,             0.43552,             0.03232,            0.012905,            0.029822,           0.0096363,           0.0096363,           0.0096363
                  13,            0.029585,           0.0058918,            0.026448,             0.67692,             0.74202,             0.76877,             0.49765,            0.025708,            0.011154,             0.02222,           0.0096032,           0.0096032,           0.0096032
                  14,            0.029933,           0.0058972,            0.025313,             0.55224,             0.72169,              0.6972,             0.45541,            0.028667,            0.012094,            0.026897,           0.0095701,           0.0095701,           0.0095701
                  15,            0.029183,           0.0058605,            0.024579,              0.6132,             0.77622,              0.7257,             0.46624,            0.027507,            0.011584,            0.023293,           0.0095371,           0.0095371,           0.0095371
                  16,            0.028328,           0.0057661,            0.024766,             0.53868,             0.77058,             0.71981,             0.45111,             0.03057,            0.012018,            0.031314,            0.009504,            0.009504,            0.009504
                  17,            0.028951,           0.0057051,            0.023601,             0.68973,              0.7585,             0.80084,             0.51507,            0.027043,            0.011351,            0.020645,           0.0094709,           0.0094709,           0.0094709
                  18,            0.028139,           0.0058226,            0.023243,             0.67911,             0.73147,             0.78614,              0.5339,            0.025554,            0.011305,            0.021074,           0.0094379,           0.0094379,           0.0094379
                  19,            0.027986,           0.0056883,            0.023508,             0.65447,             0.76585,             0.78992,             0.52465,            0.025961,            0.011015,             0.02105,           0.0094048,           0.0094048,           0.0094048
                  20,            0.027007,           0.0056683,            0.022559,             0.70682,             0.73179,             0.80091,             0.50018,            0.027975,            0.012221,            0.021241,           0.0093717,           0.0093717,           0.0093717
                  21,            0.027301,           0.0057002,            0.022068,             0.66584,             0.75107,             0.75977,             0.53051,            0.022754,            0.010838,            0.025371,           0.0093387,           0.0093387,           0.0093387
                  22,            0.027133,           0.0055854,            0.021718,             0.56203,              0.8228,             0.77503,             0.53008,            0.023598,            0.010976,            0.023796,           0.0093056,           0.0093056,           0.0093056
                  23,            0.027428,           0.0055937,            0.022016,             0.69626,             0.43891,             0.59551,             0.37713,            0.039622,            0.025462,            0.025207,           0.0092725,           0.0092725,           0.0092725
                  24,            0.027332,           0.0056719,             0.02186,              0.6261,             0.73434,             0.77818,             0.51979,            0.024642,            0.010965,            0.024707,           0.0092395,           0.0092395,           0.0092395
                  25,             0.02739,           0.0056512,            0.021772,             0.50425,              0.6484,             0.50181,              0.2435,            0.078386,            0.073151,             0.03166,           0.0092064,           0.0092064,           0.0092064
                  26,            0.027251,           0.0055764,            0.021233,              0.6949,             0.72217,             0.77858,             0.51031,            0.031937,            0.015842,            0.021869,           0.0091733,           0.0091733,           0.0091733
                  27,            0.027916,            0.005758,            0.022292,             0.74873,             0.62011,             0.69556,             0.43317,             0.03722,            0.039107,            0.021804,           0.0091403,           0.0091403,           0.0091403
                  28,            0.027161,           0.0056822,            0.021788,             0.76892,             0.75093,             0.82072,             0.55525,            0.030479,            0.012691,            0.019265,           0.0091072,           0.0091072,           0.0091072
                  29,            0.027165,            0.005647,            0.021896,              0.6965,             0.81348,             0.82098,              0.5767,            0.023307,             0.01076,            0.018695,           0.0090741,           0.0090741,           0.0090741
                  30,            0.026657,           0.0056271,            0.021475,             0.68073,             0.80139,             0.83069,             0.57824,            0.023006,            0.011272,            0.019204,           0.0090411,           0.0090411,           0.0090411
                  31,            0.026151,           0.0054067,            0.021088,              0.7784,             0.75841,             0.84449,             0.59467,            0.023012,            0.010685,            0.019431,            0.009008,            0.009008,            0.009008
                  32,              0.0267,           0.0055459,            0.020863,             0.65076,             0.41244,             0.50653,             0.34081,            0.027648,            0.020812,            0.055862,           0.0089749,           0.0089749,           0.0089749
                  33,            0.026853,           0.0056315,            0.021525,             0.48885,              0.8263,             0.70976,             0.48073,            0.023693,            0.011015,            0.027128,           0.0089419,           0.0089419,           0.0089419
                  34,            0.026867,           0.0055271,            0.020893,             0.75679,             0.78843,             0.83885,             0.56834,            0.025312,            0.014512,             0.01887,           0.0089088,           0.0089088,           0.0089088
                  35,            0.026773,           0.0055025,            0.020261,             0.65793,             0.76538,             0.82144,             0.57918,            0.023645,            0.011119,            0.022423,           0.0088757,           0.0088757,           0.0088757
                  36,            0.026343,           0.0054386,            0.020513,             0.75325,             0.79267,             0.84413,             0.60567,            0.021695,            0.010461,            0.018697,           0.0088427,           0.0088427,           0.0088427
                  37,            0.026428,           0.0055862,            0.020681,             0.79403,             0.76618,             0.84716,             0.60373,            0.022018,            0.010493,            0.017305,           0.0088096,           0.0088096,           0.0088096
                  38,            0.026201,           0.0055359,            0.019408,             0.78732,              0.7613,              0.8449,             0.60126,            0.022035,            0.010216,            0.017723,           0.0087765,           0.0087765,           0.0087765
                  39,            0.026255,           0.0055342,            0.020407,             0.64004,             0.76142,             0.80611,             0.55446,            0.023284,            0.010699,             0.02245,           0.0087435,           0.0087435,           0.0087435
                  40,            0.026276,           0.0055319,            0.020278,             0.71539,             0.78121,             0.84694,             0.59894,            0.022845,            0.010541,            0.018816,           0.0087104,           0.0087104,           0.0087104
                  41,            0.025919,           0.0054884,            0.020124,             0.72959,              0.7655,             0.82125,             0.57605,            0.021507,            0.010751,            0.020733,           0.0086773,           0.0086773,           0.0086773
                  42,            0.026591,           0.0056218,            0.019583,             0.78524,             0.79507,             0.85163,             0.58401,            0.024182,            0.011081,            0.017164,           0.0086443,           0.0086443,           0.0086443
                  43,            0.026344,           0.0054996,            0.019416,               0.673,             0.78331,             0.82822,             0.58689,            0.022001,            0.010711,            0.020867,           0.0086112,           0.0086112,           0.0086112
                  44,            0.026379,           0.0055095,            0.020276,             0.69642,             0.74324,             0.81695,             0.58053,            0.021802,            0.011465,             0.02087,           0.0085781,           0.0085781,           0.0085781
                  45,            0.025576,           0.0054707,            0.019675,             0.74293,             0.78221,              0.8553,             0.61014,            0.022379,            0.011291,            0.019799,           0.0085451,           0.0085451,           0.0085451
                  46,            0.026227,             0.00549,            0.019393,             0.77114,             0.78626,              0.8432,             0.59296,            0.021545,            0.010504,             0.01737,            0.008512,            0.008512,            0.008512
                  47,            0.026031,           0.0054913,            0.019123,             0.77239,             0.78497,             0.86064,             0.61554,            0.021907,            0.010633,            0.016698,           0.0084789,           0.0084789,           0.0084789
                  48,            0.026426,           0.0054618,            0.018809,             0.54444,              0.8333,             0.80692,             0.56803,            0.021744,            0.010353,            0.030383,           0.0084459,           0.0084459,           0.0084459
                  49,            0.025608,           0.0054807,            0.018535,             0.78193,             0.76952,              0.8498,             0.59905,            0.022359,            0.010517,            0.016938,           0.0084128,           0.0084128,           0.0084128
                  50,            0.025604,           0.0053969,            0.019039,             0.79837,             0.47444,              0.7119,             0.48267,            0.027263,             0.03917,            0.018827,           0.0083797,           0.0083797,           0.0083797
                  51,            0.025766,           0.0053737,            0.019424,             0.79762,             0.80866,             0.87386,             0.62466,            0.021497,            0.010734,            0.015266,           0.0083467,           0.0083467,           0.0083467
                  52,            0.025661,           0.0054406,            0.019003,             0.68609,             0.80182,             0.83928,             0.59334,            0.021877,            0.010496,            0.021929,           0.0083136,           0.0083136,           0.0083136
                  53,            0.026111,           0.0054601,            0.018574,             0.77276,             0.81578,              0.8712,             0.61705,            0.022617,            0.010801,            0.015801,           0.0082805,           0.0082805,           0.0082805
                  54,            0.025612,           0.0054129,            0.018857,             0.77015,             0.81286,             0.86803,             0.62668,             0.02176,            0.010754,            0.016202,           0.0082475,           0.0082475,           0.0082475
                  55,            0.025597,           0.0055188,            0.019208,             0.74782,             0.80501,             0.86687,              0.6233,             0.02152,            0.010564,            0.017299,           0.0082144,           0.0082144,           0.0082144
                  56,            0.025749,           0.0054728,            0.019416,             0.77456,             0.80816,             0.86345,             0.62382,            0.021294,            0.010237,            0.015634,           0.0081813,           0.0081813,           0.0081813
                  57,             0.02486,           0.0053158,            0.018883,             0.78364,             0.80218,             0.85894,             0.62669,            0.020249,           0.0099448,            0.016878,           0.0081483,           0.0081483,           0.0081483
                  58,            0.025419,           0.0052911,            0.018723,             0.53982,             0.85501,             0.81201,             0.56556,            0.022673,            0.010123,            0.029503,           0.0081152,           0.0081152,           0.0081152
                  59,            0.025443,           0.0054149,            0.019273,             0.77839,             0.80807,              0.8606,             0.61822,            0.020328,           0.0098782,            0.016527,           0.0080821,           0.0080821,           0.0080821
                  60,            0.025117,           0.0053737,            0.019103,             0.74882,             0.79394,             0.85205,             0.61148,            0.021269,            0.010222,            0.017286,           0.0080491,           0.0080491,           0.0080491
                  61,             0.02534,           0.0053489,            0.018568,             0.70483,              0.7816,             0.85419,             0.61561,            0.021456,            0.010085,             0.02189,            0.008016,            0.008016,            0.008016
                  62,            0.025574,           0.0054088,            0.019016,             0.79654,              0.8071,             0.87243,             0.63121,            0.021233,            0.010112,            0.015577,           0.0079829,           0.0079829,           0.0079829
                  63,            0.025847,           0.0053897,            0.018948,             0.73823,             0.69593,             0.78252,             0.51286,            0.033493,            0.047986,            0.020525,           0.0079499,           0.0079499,           0.0079499
                  64,            0.026122,           0.0054342,            0.018706,             0.67481,             0.81118,             0.85019,             0.59892,            0.023093,            0.011107,            0.021225,           0.0079168,           0.0079168,           0.0079168
                  65,            0.024904,           0.0054047,            0.018614,             0.79347,             0.79926,             0.87526,             0.63664,            0.020208,           0.0099933,            0.015344,           0.0078837,           0.0078837,           0.0078837
                  66,            0.025347,           0.0053346,            0.017914,             0.76349,             0.70293,             0.83382,              0.5997,            0.021832,            0.012558,            0.017973,           0.0078507,           0.0078507,           0.0078507
                  67,            0.024831,           0.0052537,            0.018725,             0.79926,             0.81081,             0.86735,             0.63669,            0.019767,           0.0098341,            0.014981,           0.0078176,           0.0078176,           0.0078176
                  68,             0.02537,           0.0053466,            0.018283,              0.8066,             0.77506,             0.85816,             0.62638,            0.020947,            0.011742,            0.015303,           0.0077845,           0.0077845,           0.0077845
                  69,            0.024752,           0.0053459,            0.018513,             0.77067,             0.78829,             0.87173,             0.62691,            0.021132,            0.010687,            0.016747,           0.0077515,           0.0077515,           0.0077515
                  70,            0.024615,           0.0052774,            0.018232,             0.78788,             0.77595,             0.86495,             0.62501,            0.020466,            0.010152,            0.018334,           0.0077184,           0.0077184,           0.0077184
                  71,            0.024307,           0.0053165,            0.018586,             0.77011,             0.82355,             0.87333,             0.63713,            0.020204,            0.010045,            0.015593,           0.0076853,           0.0076853,           0.0076853
                  72,            0.025016,           0.0053093,            0.018034,             0.77534,             0.81587,              0.8755,             0.64232,            0.019709,           0.0097578,            0.015247,           0.0076523,           0.0076523,           0.0076523
                  73,            0.024944,           0.0053638,            0.018848,             0.78328,             0.79233,             0.85997,             0.62527,            0.020873,            0.010062,            0.018228,           0.0076192,           0.0076192,           0.0076192
                  74,            0.024995,           0.0053553,            0.017827,             0.76742,              0.8063,             0.87346,             0.64203,            0.019483,           0.0096961,            0.016289,           0.0075861,           0.0075861,           0.0075861
                  75,            0.024929,           0.0053233,            0.018467,             0.81199,             0.81457,             0.88326,             0.64207,            0.019989,           0.0098586,            0.014848,           0.0075531,           0.0075531,           0.0075531
                  76,            0.024319,           0.0052476,            0.017981,             0.79361,             0.80708,             0.87972,               0.644,            0.020291,           0.0097988,            0.015041,             0.00752,             0.00752,             0.00752
                  77,            0.024719,           0.0053659,            0.018201,              0.7731,             0.82322,             0.87222,             0.63568,            0.020035,            0.010218,             0.01524,           0.0074869,           0.0074869,           0.0074869
                  78,             0.02493,           0.0052598,            0.017736,             0.75614,             0.80179,             0.87244,             0.63992,            0.020024,            0.010041,            0.016878,           0.0074539,           0.0074539,           0.0074539
                  79,            0.024662,           0.0053698,            0.017635,              0.7796,             0.80646,             0.87411,             0.63446,            0.020256,           0.0098737,            0.015936,           0.0074208,           0.0074208,           0.0074208
                  80,            0.024634,           0.0052636,            0.018964,             0.77828,             0.80572,             0.87559,             0.63748,            0.019517,            0.010006,             0.01652,           0.0073877,           0.0073877,           0.0073877
                  81,            0.024446,           0.0052404,            0.017682,             0.82347,             0.79266,             0.87304,             0.64672,            0.019218,           0.0096072,            0.014709,           0.0073547,           0.0073547,           0.0073547
                  82,            0.024107,             0.00526,            0.017885,             0.76604,             0.78063,             0.85909,             0.62872,            0.019417,           0.0096379,            0.019203,           0.0073216,           0.0073216,           0.0073216
                  83,            0.024932,           0.0053494,            0.018475,             0.77579,             0.82472,             0.87246,             0.63575,            0.019516,           0.0098076,            0.015533,           0.0072885,           0.0072885,           0.0072885
                  84,            0.024632,           0.0053196,            0.017925,             0.78702,             0.82487,             0.87817,             0.64994,             0.01941,           0.0097165,            0.014953,           0.0072555,           0.0072555,           0.0072555
                  85,            0.024267,           0.0052353,            0.017656,             0.80774,             0.79973,             0.88135,             0.64718,             0.01918,           0.0096433,            0.014815,           0.0072224,           0.0072224,           0.0072224
                  86,            0.024582,           0.0052846,            0.018052,             0.77875,               0.829,             0.88254,             0.64749,            0.019021,           0.0096193,            0.014875,           0.0071893,           0.0071893,           0.0071893
                  87,            0.025067,           0.0053214,            0.018103,             0.76559,             0.82641,             0.87174,             0.64413,            0.019366,           0.0095967,            0.015744,           0.0071563,           0.0071563,           0.0071563
                  88,            0.024505,           0.0053552,            0.017646,              0.7872,             0.82296,             0.87982,             0.64956,            0.019586,             0.00962,            0.015063,           0.0071232,           0.0071232,           0.0071232
                  89,            0.023991,           0.0051222,            0.018144,             0.82508,             0.80047,             0.88244,             0.65903,            0.018904,           0.0095038,            0.014408,           0.0070901,           0.0070901,           0.0070901
                  90,            0.024116,           0.0052027,            0.017673,             0.79456,             0.80488,              0.8782,             0.64918,            0.019198,           0.0095076,            0.014843,           0.0070571,           0.0070571,           0.0070571
                  91,             0.02436,           0.0052488,            0.018069,             0.77809,             0.82606,             0.87542,             0.64797,            0.019283,            0.009555,            0.015086,            0.007024,            0.007024,            0.007024
                  92,            0.024157,           0.0052523,            0.017975,             0.77469,             0.82791,             0.87902,             0.64917,            0.019195,           0.0095093,            0.014795,           0.0069909,           0.0069909,           0.0069909
                  93,            0.024251,           0.0052232,            0.017501,             0.80904,              0.7946,             0.87548,             0.64715,            0.019235,            0.009534,            0.015331,           0.0069579,           0.0069579,           0.0069579
                  94,            0.024251,           0.0053068,            0.017799,             0.82093,             0.79251,              0.8803,             0.65381,            0.019204,           0.0095061,            0.014388,           0.0069248,           0.0069248,           0.0069248
                  95,            0.024292,           0.0052324,            0.017706,             0.80593,             0.81987,             0.88166,             0.65201,            0.019226,           0.0095467,            0.014363,           0.0068917,           0.0068917,           0.0068917
                  96,            0.024506,            0.005249,            0.017917,             0.77068,             0.82731,             0.87568,             0.64439,             0.01949,           0.0095971,            0.015523,           0.0068587,           0.0068587,           0.0068587
                  97,            0.023779,           0.0051975,            0.018105,             0.79147,             0.82597,             0.87971,              0.6518,            0.019003,           0.0095147,            0.014519,           0.0068256,           0.0068256,           0.0068256
                  98,            0.024189,           0.0052322,            0.017742,             0.80152,             0.79854,             0.87897,             0.65355,             0.01916,           0.0094558,            0.015345,           0.0067925,           0.0067925,           0.0067925
                  99,            0.023705,           0.0051903,            0.017325,             0.81893,             0.79484,             0.88157,             0.65531,            0.018987,           0.0094541,            0.014517,           0.0067595,           0.0067595,           0.0067595
